yr,fdivinc,fdivkg,fintinc,fintinctax,fintexm ,fschcincp,fscorpinc,fscorpinc2,fpartpinc,fpartpinc2,frentincp,fmortded,fresttax,fpenira,fpen,fothdebt,fracfiling,ttwealth,ttdivw,ttintw,ttinttaxw,ttintexmw,ttschcpartw,ttscorw,ttrentw,ttmortw,ttrestw,ttpeniraw,ttpenw,ttothdebt,ttcurrency,fintbottom99,fintop1,fpenlabor,festdivkg,festdiv,festint,festhous,festbus,ttmuni,fnonmort,qequity,qbond,qhousing,qbusiness,qpension,gdpinf,qeqmarket,yieldeq,yieldfix,yieldhous,yieldbus,yieldpen,blowwag,blowlbus,ttestpos,ttkinc,ttkinc2,ttkg,ttdivinc,ttnakinc,ttnalinc,ttintinc,ttestinc,ttrentincp
1990,22.1384,8.9557,,16.1458,15.231,8.3604,4.7547,5.165,8.0221,8.331,40.8844,10.0468,101.7804,31.4222,16.8659,,0.9552,17547980,1849499,4335614,3726263,609351,1942678,311447,1084991,-2374110,6720777,551585,3618146,-949134,456489,17.33761943,11.69590643,1.457238966,32.88631027,19.48887975,15.60801737,8.685708966,1.776129208,609351,,0.013737,-0.031401,-0.007625,-0.013556,-0.018643,0.037127,0.042431668,0.10071957,0.1060877,0.01566964,0.02013355,0.1045204,1.3953818,1.58718903,4650,639322,625132,112276,80169,1185388,4010228,227084,3832,25724
1991,26.4619,11.2091,,18.1094,15.2242,8.2519,4.7547,5.158,7.9508,8.225,39.5708,10.2598,95.333,32.0293,16.4838,,0.9525,18444164,2130466,4520425,3854233,666192,1917689,301945,1117960,-2577862,6884283,660668,3975727,-965022,477884,19.59711577,12.72264631,1.562495443,36.00525903,23.03884198,16.70699158,8.019992692,1.672448559,666192,,0.090112,-0.026513,-0.059454,-0.048838,0.007011,0.033135,0.09358227,0.09952841,0.09671467,0.01743984,0.02144267,0.09759023,1.4078016,1.5866408,4327,616919,603905,100878,77284,1220360,4146326,209411,3706,27501
1992,31.4344,12.1765,,22.988,15.1828,7.4556,4.7547,5.089,7.2144,7.43,38.1661,11.1849,92.8178,29.3783,16.8292,,0.9316,19579407,2563286,4510388,3816926,693462,1854627,368306,1152117,-2753500,7113896,771855,4418839,-981101,560695,25.30628863,14.26533524,1.651202987,50.67293277,28.69762516,21.44549938,8.274273723,1.616350359,693462,,0.099095,-0.024496,-0.01166,-0.056831,0.014529,0.02282,0.164430147,0.08663232,0.09120109,0.02229186,0.02972939,0.08963822,1.4260923,1.62492469,4670,602309,589760,116092,77926,1270287,4417518,162343,3963,29328
1993,34.4584,11.9288,,28.066,15.4051,7.3442,4.7547,5.293,7.0931,7.314,37.2364,12.3832,90.3348,32.1443,17.9141,,0.9289,20637209,2887836,4508054,3793297,714757,1853074,386352,1214999,-2919380,7385852,870468,4845905,-1037879,641931,31.16103949,17.03577513,1.761433785,54.13978224,30.78452796,24.6927844,8.401037518,1.656951258,714757,,0.041942,-0.0242,-0.01198,-0.03181,-0.001354,0.023825,0.085355484,0.08242648,0.0874094,0.02846151,0.03821327,0.08561363,1.437809,1.66423691,5245,583577,567408,141646,79729,1351231,4591382,131141,4564,31600
1994,33.6951,12.1632,,30.2774,15.5266,7.3379,4.7547,5.251,7.0827,7.305,37.2138,12.4821,90.8788,28.7078,18.2069,,0.9297,21620394,2922317,4693844,3944072,749772,1931876,493541,1308962,-3081992,7649679,950400,5261571,-1161689,651887,35.24258296,14.10437236,1.824701887,45.11806985,26.48913521,22.57508574,8.081792898,1.593586236,749772,,-0.028208,-0.012416,0.025641,0.003395,-0.018296,0.021252,0.036517912,0.09256697,0.08552629,0.03294228,0.04623095,0.08812119,1.4458705,1.64230374,6055,618434,600328,137472,82410,1504350,4822323,126169,5493,33981
1995,34.0088,11.7944,,25.9909,15.3029,7.5119,4.7547,5.242,7.2562,7.474,38.241,12.0768,88.6099,29.089,18.8129,,0.9381,23134970,3380565,4879268,4137016,742252,2036751,535211,1394275,-3242074,7921426,1085485,5855797,-1323134,611400,28.85858364,15.22070015,1.927386123,49.22760413,27.01936476,18.84732886,8.736348114,1.716142476,742252,,0.081783,-0.011937,0.008399,0.01218,0.023646,0.020891,0.134528299,0.09034608,0.08723218,0.03529134,0.05312603,0.08840257,1.4290237,1.61295475,7003,677495,658867,166761,94592,1653496,5025469,154781,6055,35077
1996,37.0111,10.559,,25.4231,15.0703,7.2669,4.7547,5.198,7.012,7.218,36.7461,11.7841,86.7578,28.1257,19.2549,,0.943,25157002,4078355,5070625,4344462,726163,2125676,600690,1452334,-3427928,8241886,1275190,6644991,-1470439,565624,28.02640827,15.52795031,2.074322484,50.29234894,28.49093349,17.17671507,9.473363153,1.873458587,726163,,0.131778,-0.008026,0.019031,0.008253,0.048796,0.018222,0.193217121,0.08490123,0.08478508,0.03667615,0.06123222,0.08478781,1.4230905,1.66337467,8371,736791,717370,245240,104253,1781973,5306532,165673,7716,37534
1997,38.7192,9.413,,25.6125,15.2575,7.3302,5.0041,5.44,7.0678,7.276,36.9818,11.653,86.3905,26.4907,19.6169,,0.9468,27663078,4927555,5292429,4543900,748529,2288839,710393,1540503,-3644902,8641303,1461837,7512018,-1591202,524305,28.30915891,15.7480315,2.187019814,54.95924067,32.23005659,17.97817884,10.49977851,2.081168316,748529,,0.151628,-0.008797,0.034591,0.046658,0.060372,0.017206,0.193879985,0.07713605,0.08494541,0.0363301,0.06266857,0.08128855,1.4164069,1.66784713,8780,796552,775898,355501,120493,1904225,5655043,171700,8134,39346
1998,49.4118,10.1247,,25.3321,15.8309,7.543,5.5408,6.028,7.2513,7.481,36.9982,11.5229,87.2957,23.8001,19.2641,,0.9529,31146601,6206799,5465054,4669972,795082,2529660,882826,1611766,-3903541,9274342,1763444,8505491,-1705470,516231,27.12258009,19.01140684,2.309853565,51.19626022,37.24548778,16.1029187,10.80693163,2.203267314,795082,,0.195945,-0.006309,0.091591,0.065253,0.085942,0.010845,0.230846678,0.05906035,0.08728651,0.03554669,0.05348924,0.07310804,1.4181643,1.73982219,10661,847017,823422,446699,118480,1926195,6104281,178334,9464,40799
1999,57.3662,11.1902,,26.5612,16.1814,7.4855,5.7654,6.235,7.21,7.429,36.1766,11.6578,88.6443,25.0481,18.7311,,0.9607,35324825,7977214,5658631,4808896,849735,2706630,1005192,1672180,-4242667,10168036,2182712,9519856,-1841700,518742,29.23060618,17.69911504,2.452360557,57.4376431,38.26188954,14.44308632,10.11302328,2.092529137,849735,,0.191715,-0.00524,0.116481,0.023526,0.091345,0.014276,0.221467572,0.04969986,0.08228137,0.03453163,0.05447447,0.0648343,1.4165075,1.74553765,10567,901852,877669,529680,132466,1971695,6504127,175675,9884,43460
